Area,Year,Total Crops Yielded per 100g/ha,Total Crop Based Food Balance per 1000t,Total Fertilizers Used in Tonnes,Total FDI Inflows per million USD,Total Crop Emissions N20,Total Land Use per 1000/ha,Total Pesticides Used in Tonnes,Total Cereal Export Value per 1000 USD,Total Sugar and Honey Export Value per 1000 USD,Total Fruits and Vegetables Export Value per 1000 USD,Total Tobacco Export Value per 1000 USD,Total Fats and Oils Export Value per 1000 USD
Burkina Faso,2010,118644.72727272728,19.23076923076923,41366.333333333336,34.619011,1.3201,5242.0,1042.53,9667.0,122.0,37046.0,6815.0,3639.0
Burkina Faso,2011,128508.72727272728,26.23076923076923,11667.181818181818,143.657309,1.1004,5413.0,1059.25,6539.0,3.0,106901.0,6491.0,4964.0
Burundi,2010,88177.77777777778,2.6923076923076925,1605.0,0.780581,0.1506,1350.0,264.53,829.0,501.0,159.0,1380.0,125.0
Burundi,2011,163235.55555555556,2.076923076923077,2508.0,3.3550080000000007,0.1607,1358.0,75.64,165.0,500.0,283.0,1400.0,40.0
Burundi,2013,130254.77777777778,2.1538461538461537,4598.4275,7.407171,0.158,1404.0,956.06,3024.0,3.0,382.0,4075.0,301.0
Burundi,2014,107531.66666666667,7.416666666666667,4982.9825,47.061011,0.1613,1431.0,74.49,4807.38,41.78,450.53,3255.35,4.74
Burundi,2015,108087.66666666667,6.363636363636364,7419.3125,7.360448000000001,0.1628,1458.0,72.74,5638.38,13.78,376.47,5324.73,8.16
Cambodia,2010,63232.181818181816,36.166666666666664,9814.444444444445,1404.315449,2.5669,3903.0,1198.31,61462.0,5166.0,3517.0,12024.0,10077.0
Cambodia,2011,64988.63636363636,38.333333333333336,13953.222222222223,1538.8834249999998,2.6969,3950.6938000000005,1673.0,112301.0,12763.0,6324.0,20419.0,17476.0
Cameroon,2010,66879.4,44.61538461538461,10590.818181818182,-0.551,0.8766000000000002,7700.0,3474.69,5277.0,11476.0,92325.0,1920.0,8866.0
Cameroon,2011,67535.6,41.92307692307693,12440.75,355.4,0.8639,7750.0,3968.89,4668.0,8838.0,99616.0,1152.0,10283.0
Canada,2010,139166.77777777778,3803.538461538461,549299.9285714285,28400.44265,11.6971,37864.0,61050.0,8452152.0,883980.0,4971398.0,178744.0,2496049.0
Canada,2011,151276.0,3733.7692307692314,560880.4615384615,39669.29788,12.2695,37463.7,62107.2,10226532.0,934449.0,5562294.0,169412.0,3703331.0
Canada,2012,154264.77777777778,3904.2307692307686,305000.0,43111.00614,13.2563,37713.0,73508.9,10821276.0,993155.0,5211336.0,197003.0,3915232.0
Canada,2013,169016.55555555556,4083.923076923077,781400.0,69368.24121,16.5589,37962.0,81659.8,11602409.0,983017.0,6303300.0,210874.0,3324905.0
Canada,2014,173248.33333333334,5165.916666666667,824200.0,59005.2048,13.5527,38211.0,76314.0,12443143.61,981281.64,6534079.84,180763.57,2786095.21
Canada,2015,171464.66666666666,4716.846153846154,851300.0,43835.96994,13.8642,38461.0,75318.3,11112792.2,991043.0500000002,7096361.17,183508.57,2604939.91
Canada,2016,173558.0,4632.461538461538,1008250.0,36055.58154,14.977600000000002,38708.0,90926.0,9568906.43,1000416.1599999999,7040584.73,179741.68,2907362.64
Canada,2017,176461.11111111112,4967.7692307692305,1015875.0,22766.84593,14.8355,38682.0,98304.0,10384611.6,1006373.73,6807940.5,201923.63,3196460.57
Canada,2018,178241.44444444444,5053.2307692307695,1202571.4285714286,37661.92475,15.258000000000001,38860.0,87632.0,11728914.34,1035271.01,6648131.48,191572.22,3319218.84
Canada,2019,175867.0,4769.538461538462,1042250.0,50543.67938,15.5851,38815.0,78893.0,11602280.96,987215.9600000001,6969233.29,189847.67,3185962.51
Canada,2020,170013.11111111112,5548.923076923077,1186888.888888889,26884.33013,16.4602,38401.0,92960.0,12812609.33,1013321.0799999998,8214628.809999999,167162.65,3419946.62
Canada,2021,179967.88888888888,4955.461538461538,1125888.888888889,65658.75281,12.4109,38431.0,92960.0,14584543.57,1168471.84,8590390.75,142519.53,5114451.8
Central African Republic,2011,27223.7,0.09090909090909091,285.0,36.908456,0.0715,1885.0,48.69,0.0,0.0,0.0,220.0,0.0
Chile,2010,166578.45454545456,412.53846153846155,99520.15749999999,15033.194,0.749,1739.0,6895.43,348382.0,59807.0,4874267.0,57066.0,48554.0
Chile,2011,185487.0,439.38461538461536,86145.12111111112,22633.61,0.8301,1746.0,7027.68,424307.0,64439.0,5651008.0,73205.0,65340.0
Chile,2012,179715.81818181818,440.0769230769231,58242.11764705882,26708.1071,0.712,1753.0,7420.73,521752.0,68456.0,5695254.0,86845.0,87059.0
Chile,2013,190700.72727272726,455.0,56369.77777777778,26302.62896,0.8182,1760.0,8059.78,683020.0,70526.0,6274996.0,75585.0,106731.0
Chile,2014,180605.9090909091,469.5833333333333,55236.38888888889,25566.074950000002,0.7308,1767.0,8359.48,569290.75,56964.4,6612639.21,88533.43,129272.02
Chile,2015,181742.54545454544,439.9230769230769,69039.11764705883,19764.09979,0.7704,1773.0,9651.25,381429.94,67008.34,6114941.179999999,104164.7,134271.96
Chile,2016,185014.63636363635,457.0,43055.266111111116,10522.7162,0.8145,1780.0,11816.85,345854.18,50276.14000000001,6675278.070000001,99612.66999999998,114774.02
"China, Hong Kong SAR",2010,120959.0,122.0,710.1428571428571,70535.20518,0.0,4.5,41.0,186998.0,113120.0,1214971.0,814425.0,51488.0
"China, Hong Kong SAR",2011,122176.75,139.15384615384616,834.0,96582.73381,0.0,4.5,63.0,240763.0,112953.0,1824335.0,893678.0,51455.0
"China, Taiwan Province of",2010,158732.4,46.61538461538461,146567.2857142857,3811.565,0.34130000000000005,813.0,7850.0,140307.0,35126.0,237929.0,33532.0,52959.0
"China, Taiwan Province of",2011,167856.2,53.53846153846154,164008.0,4955.435,0.3788,808.0,8254.0,188922.0,41340.0,294084.0,56400.0,72162.0
"China, Taiwan Province of",2012,157058.1,52.84615384615385,164989.5,5558.981,0.3839,803.0,9396.0,238351.0,45814.0,299976.0,71553.0,75610.0
"China, Taiwan Province of",2013,152143.7,58.92307692307693,163523.5,4933.451,0.37549999999999994,800.0,9632.0,282705.0,56878.0,322949.0,73603.0,90072.0
"China, Taiwan Province of",2014,161452.9,62.0,159143.93333333332,5770.024,0.4035,799.6,8619.0,299827.14,63236.37000000001,369891.61,96915.13,62296.030000000006
"China, Taiwan Province of",2015,158769.7,78.58333333333333,153693.0,4796.847,0.37450000000000006,796.6,9296.0,327358.52,68568.34,405833.32,90051.41,53897.45
"China, Taiwan Province of",2016,142959.5,83.83333333333331,157557.215,11037.060999999998,0.3837,794.0,9504.0,336636.47,63050.62000000001,390359.35,118833.84,53121.68000000001
"China, Taiwan Province of",2017,152183.4,83.66666666666669,148048.35333333333,7513.191999999999,0.41240000000000004,793.0,10549.0,328893.1,110713.09,410939.17,104700.43,48833.71
"China, Taiwan Province of",2018,161312.2,111.58333333333331,146079.29333333333,7114.0,0.4391,790.7,10549.0,380123.51,190883.27,480290.32999999996,138246.02,60357.05
"China, Taiwan Province of",2019,157175.7,115.15384615384615,137010.0,8240.0,0.4153,790.2,10549.0,412724.95,154081.63,606705.63,137938.84,59205.71
"China, Taiwan Province of",2020,154498.6,116.08333333333331,145080.53333333335,6053.0,0.4104,790.1,10549.0,469563.66,99645.55,539984.45,127771.12,55623.95
"China, Taiwan Province of",2021,159091.0,117.91666666666669,130337.33333333331,5416.0,0.3674,787.0,10549.0,474687.6,108231.81000000001,565561.1,285251.36,81760.98
Colombia,2010,153606.9090909091,281.0769230769231,223906.0,6429.990957,0.9425999999999999,3353.0,48618.46,130496.0,673679.0,861497.0,18185.0,142888.0
Colombia,2011,150969.45454545456,301.53846153846155,233601.16666666666,14647.043120000002,0.9989,3409.0,53797.0,123589.0,878045.0,942866.0,30445.0,287959.0
Colombia,2015,150149.0,324.8461538461538,79239.25,11723.93707,1.0354,3664.0,33689.3,157600.29,610045.38,964228.06,46192.45,370570.61
Colombia,2016,148414.63636363635,344.75,92471.2857142857,13847.80274,1.1372,3772.0,32392.0,139115.09,533853.14,1119676.67,34135.28,363465.69
Colombia,2018,138280.45454545456,371.8461538461538,77416.34888888891,11535.11987,1.0942,4448.0,37773.0,174483.89,518294.2700000001,1173371.73,43100.15,606412.84
Colombia,2019,117407.27272727272,386.8461538461538,71275.65,14313.72155,1.1183,4617.0,69862.0,205953.67,484641.36,1285770.71,46116.06,514078.99
Colombia,2020,149971.18181818182,406.46153846153845,111864.165,7690.222332999999,1.2062,4548.0,36711.0,232793.33,506196.58,1409104.7,17997.18,587578.8
Colombia,2021,159520.9090909091,387.1538461538462,113870.0,9381.29063,1.1833,4498.0,39324.0,231812.83999999997,496219.83,1558246.1,11119.61,744493.56
Congo,2010,78019.88888888889,5.3,87.71428571428571,2384.433357,0.0092,576.0,598.78,1642.0,22638.0,772.0,1504.0,1631.0
Congo,2011,76552.22222222222,1.2,187.75,1337.88406,0.0092,596.0,652.53,411.0,4003.0,835.0,2090.0,870.0
Costa Rica,2010,141517.45454545456,451.1538461538462,24168.6,1683.545,0.08530000000000001,540.0,14241.839999999998,91295.0,98085.0,1798940.0,1597.0,138357.0
Costa Rica,2011,142028.72727272726,462.1538461538462,31258.090909090908,2461.483,0.0871,547.0,12811.25,107877.0,82753.0,1939101.0,2471.0,241345.0
Croatia,2010,132037.81818181818,101.07692307692308,70671.14285714286,3055.928148,0.6113,988.4,1605.37,220127.0,142744.0,72155.0,123711.0,31414.0
Croatia,2011,124128.72727272728,87.84615384615384,82736.69230769231,2488.2234539999995,0.5945000000000001,979.7,1682.32,215183.0,187624.0,78271.0,97486.0,32340.0
Croatia,2013,125111.0,104.07692307692308,28648.2,1938.255053,0.6563,949.3,1836.21,278146.0,104599.0,62675.0,98882.0,20639.0
Croatia,2014,146189.0,128.08333333333334,32955.142857142855,6124.81198,0.5880999999999998,890.5,2109.17,283682.94,136366.42,107264.91999999998,75424.77,40504.66
Croatia,2015,124922.54545454546,158.0,26651.666666666668,32.386193,0.5914,919.2,2301.08,313918.17,113327.91999999998,95817.91,54440.47,34887.24
Croatia,2016,158465.54545454544,179.6153846153846,17696.933333333334,802.909939,0.7277,946.0,1854.0,330022.64,180978.16,116104.45,65318.30999999999,58885.12
Croatia,2017,123722.36363636363,192.75,29991.214285714286,991.361166,0.5637,889.0,1570.0,364055.51,128120.61,121974.56,126385.68,71204.77
Croatia,2018,191119.125,208.83333333333334,30596.0,2552.799023,0.6564,876.0,1677.0,423833.62,105802.75,136889.82,175286.48,78925.66
Croatia,2019,193461.5,225.16666666666666,30093.428571428572,1059.453664,0.7061,897.0,1558.0,438643.58,79873.34,138595.71,182507.32,76992.71
Croatia,2020,207983.25,253.46153846153848,30540.35714285714,335.232534,0.7622,968.0,1644.0,584486.12,60830.14,182149.73,185527.35,83111.07
Croatia,2021,188852.125,269.5,30807.214285714283,9296.492255,0.7484,936.0,1463.0,708566.0,73754.99,245785.34,188462.45,129703.43
Cyprus,2010,127884.66666666667,20.0,5701.582,765.547537,0.0206,112.5,632.48,7849.0,659.0,117876.0,20355.0,2108.0
Cyprus,2011,134299.22222222222,27.0,3492.8120000000004,2384.079849,0.023099999999999996,113.9,1324.62,9772.0,671.0,154459.0,8491.0,4576.0
Cyprus,2012,115649.11111111111,20.333333333333332,1863.1818181818182,1257.879143,0.0265,114.3,1266.21,11806.0,649.0,113130.0,14848.0,3579.0
Cyprus,2013,122243.22222222222,23.5,1610.1363636363637,22260.44226,0.018,107.03,1243.1,11226.0,537.0,145056.0,18145.0,3167.0
Cyprus,2014,126952.44444444444,21.23076923076923,1345.0434782608695,46453.57565,0.0085,107.18,1203.71,11972.9,633.03,124593.33,10203.26,2984.08
Cyprus,2015,124023.22222222222,19.692307692307693,1602.3478260869565,23945.41218,0.026,124.78,1056.74,9712.38,393.25,99861.77,5711.92,2386.7
Cyprus,2016,106924.44444444444,23.076923076923073,1736.4782608695652,10928.47181,0.0091,108.00999999999999,1142.13,9627.41,348.96,117876.32,5611.97,1941.8499999999997
Cyprus,2017,110057.22222222222,25.692307692307693,1730.304347826087,9437.308661,0.0136,119.77,1163.2,8986.44,323.46,126933.45000000001,4346.16,2875.29
Cyprus,2018,133070.42857142858,24.307692307692307,1734.5217391304348,-413.33538,0.0115,130.8547,1187.4,8224.23,437.16,119754.83,4829.159999999999,2546.4900000000002
Cyprus,2019,127717.42857142857,23.307692307692307,1947.237272727273,52329.62713,0.0184,123.768,1233.5,6102.15,464.38,118694.55,3779.53,3478.75
Cyprus,2020,124475.42857142857,20.23076923076923,1823.8545454545456,-24450.88897,0.0222,125.39230000000002,1201.0,6342.31,420.85,96931.39,2705.07,5202.64
Cyprus,2021,128756.85714285714,21.384615384615383,1584.9545454545455,-35743.71906,0.0171,120.94559999999998,1115.4,9412.74,318.64,106498.01,3751.45,4306.64
Czechia,2010,112760.3,393.8461538461539,22343.928571428572,6140.581727,1.587,2587.82,4957.4,830137.0,305199.0,364048.0,418307.0,245929.0
Czechia,2011,137576.6,385.8461538461539,36476.61538461538,2317.555253,1.8656,2562.31,5306.06,1226008.0,365796.0,429568.0,487066.0,263279.0
Czechia,2012,128249.8,483.9230769230769,92111.0,7984.108594000001,1.4894,2558.15,5345.4,1315785.0,506085.0,429002.0,508302.0,452375.0
Czechia,2013,124304.7,461.53846153846155,90799.84615384616,3639.129448,1.707,2547.0,5146.98,1331296.0,456044.0,473699.0,543952.0,421198.0
Czechia,2014,144735.5,526.9230769230769,97229.0,5492.003517,1.9708,2535.0,4683.39,1439633.02,412618.52,477396.49000000005,660949.72,478057.1
